team,elo
北京国安,1591.0508623991857
上海申花,1590.6878696823258
上海海港,1587.7770728833534
成都蓉城,1584.2758066115466
山东泰山,1527.4238780653923
天津津门虎,1527.3155237776202
浙江,1507.9588343459072
云南玉昆,1493.455525047391
青岛西海岸,1491.5932676527277
大连英博,1489.147476493411
河南,1460.9319525710457
武汉三镇,1450.397863574342
青岛海牛,1433.7521092385143
梅州客家,1427.6662145975415
深圳新鹏城,1418.7850789962029
长春亚泰,1417.780664063493
